listing_nickname,year,month,monthname,week,weekname,weekdate,avail_days,booked_days,occ_rate,ADR,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
C703,2018,4,Apr,15,2018-04-09 00:00:00,2018-04-09T07:00:00Z,7,6,0.8571428571428571,138.6,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,4,Apr,16,2018-04-16 00:00:00,2018-04-16T07:00:00Z,7,5,0.7142857142857143,151.852,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,4,Apr,17,2018-04-23 00:00:00,2018-04-23T07:00:00Z,7,6,0.8571428571428571,142.64000000000001,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,4,Apr,18,2018-04-30 00:00:00,2018-04-30T07:00:00Z,1,1,1,232.24857142857144,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,5,May,18,2018-04-30 00:00:00,2018-04-30T07:00:00Z,6,6,1,232.2485714285714,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,5,May,19,2018-05-07 00:00:00,2018-05-07T07:00:00Z,7,7,1,185.25228571428573,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,5,May,20,2018-05-14 00:00:00,2018-05-14T07:00:00Z,7,7,1,197.46342857142858,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,5,May,21,2018-05-21 00:00:00,2018-05-21T07:00:00Z,7,7,1,218.25571428571428,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,5,May,22,2018-05-28 00:00:00,2018-05-28T07:00:00Z,4,1,0.25,164.765,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,6,Jun,22,2018-05-28 00:00:00,2018-05-28T07:00:00Z,3,2,0.6666666666666666,189.9415909090909,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,6,Jun,23,2018-06-04 00:00:00,2018-06-04T07:00:00Z,7,7,1,215.11818181818185,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,6,Jun,24,2018-06-11 00:00:00,2018-06-11T07:00:00Z,7,6,0.8571428571428571,241.14742424242425,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,6,Jun,25,2018-06-18 00:00:00,2018-06-18T07:00:00Z,7,6,0.8571428571428571,241.15625,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,6,Jun,26,2018-06-25 00:00:00,2018-06-25T07:00:00Z,6,6,1,218.95375,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,7,Jul,26,2018-06-25 00:00:00,2018-06-25T07:00:00Z,1,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,7,Jul,27,2018-07-02 00:00:00,2018-07-02T07:00:00Z,7,6,0.8571428571428571,232.80500000000004,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,7,Jul,28,2018-07-09 00:00:00,2018-07-09T07:00:00Z,7,7,1,212.3642857142857,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,7,Jul,29,2018-07-16 00:00:00,2018-07-16T07:00:00Z,7,6,0.8571428571428571,276.4583333333333,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,7,Jul,30,2018-07-23 00:00:00,2018-07-23T07:00:00Z,7,6,0.8571428571428571,255.83,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,7,Jul,31,2018-07-30 00:00:00,2018-07-30T07:00:00Z,2,2,1,230.8166666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,8,Aug,31,2018-07-30 00:00:00,2018-07-30T07:00:00Z,5,4,0.8,265.2841666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
