conf,listing_nickname,booked,rev,status,source,year,month,BT,rev_mo,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
HMRARE9AMR,EX829,2017-10-08,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMRARE9AMR,EX829,2017-10-09,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-kqmglN,EX829,2017-10-27,146.66,confirmed,Expedia,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-kqmglN,EX829,2017-10-28,146.66,confirmed,Expedia,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-wJB7JJ,EX829,2017-11-10,131.63,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-wJB7JJ,EX829,2017-11-11,131.63,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-vGAm1X,EX829,2017-10-31,128.92,confirmed,Expedia,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-vGAm1X,EX829,2017-11-01,128.92,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-vGAm1X,EX829,2017-11-02,128.92,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-R3x4N0,EX829,2017-12-03,101.16,confirmed,Expedia,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-R3x4N0,EX829,2017-12-04,101.16,confirmed,Expedia,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-11,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-12,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-13,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
