conf,listing_nickname,booked,rev,status,source
RU-X8Z0lW,VR1203,2018-08-02,378.74,confirmed,Expedia
841167722,VR1203,2017-06-13,243.08666666666667,confirmed,Expedia
841167722,VR1203,2017-06-14,243.08666666666667,confirmed,Expedia
841167722,VR1203,2017-06-15,243.08666666666667,confirmed,Expedia
1322077432,VR1203,2017-05-16,231.25,confirmed,booking.com
1322077432,VR1203,2017-05-17,231.25,confirmed,booking.com
842404899,VR1203,2017-06-26,221.41,confirmed,Expedia
842404899,VR1203,2017-06-27,221.41,confirmed,Expedia
842404899,VR1203,2017-06-28,221.41,confirmed,Expedia
842404899,VR1203,2017-06-29,221.41,confirmed,Expedia
pRXroor,VR1203,2018-07-13,295.8925,confirmed,direct
pRXroor,VR1203,2018-07-14,295.8925,confirmed,direct
pRXroor,VR1203,2018-07-15,295.8925,confirmed,direct
pRXroor,VR1203,2018-07-16,295.8925,confirmed,direct
RU-gmm8YG,VR1203,2018-08-06,251.24200000000002,confirmed,Expedia
RU-gmm8YG,VR1203,2018-08-07,251.24200000000002,confirmed,Expedia
RU-gmm8YG,VR1203,2018-08-08,251.24200000000002,confirmed,Expedia
RU-gmm8YG,VR1203,2018-08-09,251.24200000000002,confirmed,Expedia
RU-gmm8YG,VR1203,2018-08-10,251.24200000000002,confirmed,Expedia
RU-J302o9,VR1203,2018-06-26,225.72,confirmed,Expedia
RU-J302o9,VR1203,2018-06-27,225.72,confirmed,Expedia
HMBM5NW92M,VR1203,2018-07-01,178.2375,confirmed,Airbnb
HMBM5NW92M,VR1203,2018-07-02,178.2375,confirmed,Airbnb
HMBM5NW92M,VR1203,2018-07-03,178.2375,confirmed,Airbnb
HMBM5NW92M,VR1203,2018-07-04,178.2375,confirmed,Airbnb
RU-jppvZR,VR1203,2018-07-24,240.71,confirmed,Expedia
RU-jppvZR,VR1203,2018-07-25,240.71,confirmed,Expedia
RU-jppvZR,VR1203,2018-07-26,240.71,confirmed,Expedia
RU-jppvZR,VR1203,2018-07-27,240.71,confirmed,Expedia
RU-3Lz67R,VR1203,2018-07-09,281.68,confirmed,Expedia
RU-3Lz67R,VR1203,2018-07-10,281.68,confirmed,Expedia
RU-3Lz67R,VR1203,2018-07-11,281.68,confirmed,Expedia
RU-3Lz67R,VR1203,2018-07-12,281.68,confirmed,Expedia
RU-O3OVLB,VR1203,2018-11-30,154.37333333333333,confirmed,Expedia
RU-O3OVLB,VR1203,2018-12-01,154.37333333333333,confirmed,Expedia
RU-O3OVLB,VR1203,2018-12-02,154.37333333333333,confirmed,Expedia
RU-5N2YNR,VR1203,2018-07-18,281.68,confirmed,Expedia
RU-5N2YNR,VR1203,2018-07-19,281.68,confirmed,Expedia
RU-jpxKZP,VR1203,2018-09-24,169.73,confirmed,Expedia
RU-jpxKZP,VR1203,2018-09-25,169.73,confirmed,Expedia
24NNS9,VR1204,2017-02-01,163.75,confirmed,Airbnb
24NNS9,VR1204,2017-02-02,163.75,confirmed,Airbnb
24NNS9,VR1204,2017-02-03,163.75,confirmed,Airbnb
24NNS9,VR1204,2017-02-04,163.75,confirmed,Airbnb
BQ84QQ,VR1204,2017-01-27,145.5,confirmed,Airbnb
BQ84QQ,VR1204,2017-01-28,145.5,confirmed,Airbnb
CKZFYY,VR1204,2017-04-13,188.33333333333334,confirmed,Airbnb
CKZFYY,VR1204,2017-04-14,188.33333333333334,confirmed,Airbnb
CKZFYY,VR1204,2017-04-15,188.33333333333334,confirmed,Airbnb
8EKKD3,VR1204,2017-06-03,258.5,confirmed,Airbnb
8EKKD3,VR1204,2017-06-04,258.5,confirmed,Airbnb
HMC4CHNX45,VR1204,2017-05-24,225.5,confirmed,Airbnb
HMC4CHNX45,VR1204,2017-05-25,225.5,confirmed,Airbnb
HMFETSTXJJ,VR1204,2017-06-15,217.33333333333334,confirmed,Airbnb
HMFETSTXJJ,VR1204,2017-06-16,217.33333333333334,confirmed,Airbnb
HMFETSTXJJ,VR1204,2017-06-17,217.33333333333334,confirmed,Airbnb
HMA299RDJH,VR1204,2017-07-28,217.33333333333334,confirmed,Airbnb
HMA299RDJH,VR1204,2017-07-29,217.33333333333334,confirmed,Airbnb
HMA299RDJH,VR1204,2017-07-30,217.33333333333334,confirmed,Airbnb
NPEQ8F,VR1204,2017-02-10,163.75,confirmed,Airbnb
