Bldg_Name,listing_nickname,year,rev_mo,days_booked,days_avail,occ_rate,Avg_Rev,Rev_Par
Marina SLU,MS309,2018,2018-09-01,19,30,0.6333333333333333,185.64947368421053,117.578
Marina SLU,MS309,2018,2018-10-01,10,31,0.3225806451612903,173.053,55.82354838709677
Marina SLU,MS310,2018,2018-01-01,2,377,0.005305039787798408,118.16,0.6268435013262599
Marina SLU,MS310,2018,2018-02-01,9,28,0.32142857142857145,109.34777777777778,35.1475
Marina SLU,MS310,2018,2018-03-01,23,31,0.7419354838709677,130.74072463768115,97.00118279569892
Marina SLU,MS310,2018,2018-04-01,21,30,0.7,139.14111111111112,97.39877777777778
Marina SLU,MS310,2018,2018-08-01,2,42,0.047619047619047616,238.20428571428573,11.343061224489796
Marina SLU,MS310,2018,2018-09-01,21,30,0.7,176.75768707482993,123.73038095238094
Marina SLU,MS310,2018,2018-10-01,6,31,0.1935483870967742,143.13833333333332,27.704193548387092
Marina SLU,MS310,2018,2018-11-01,2,30,0.06666666666666667,148.42,9.894666666666666
Marina SLU,MS311,2018,2018-02-01,4,28,0.14285714285714285,114.2175,16.316785714285714
Marina SLU,MS311,2018,2018-03-01,26,31,0.8387096774193549,130.8047666559382,109.70722364691592
Marina SLU,MS311,2018,2018-04-01,20,30,0.6666666666666666,124.34849999999999,82.89899999999999
Marina SLU,MS311,2018,2018-05-01,1,491,0.002036659877800407,140.65,0.28645621181262726
Marina SLU,MS311,2018,2018-08-01,1,42,0.023809523809523808,222.45333333333335,5.296507936507936
Marina SLU,MS311,2018,2018-09-01,27,30,0.9,157.5486728395062,141.7938055555556
Marina SLU,MS311,2018,2018-10-01,12,31,0.3870967741935484,165.05437500000002,63.892016129032264
Marina SLU,MS311,2019,2019-01-01,4,31,0.12903225806451613,10.380714285714287,1.3394470046082951
Marina SLU,MS311,2019,2019-02-01,24,28,0.8571428571428571,10.380714285714287,8.897755102040817
Marina SLU,MS401,2018,2018-09-01,15,30,0.5,145.85988405797102,72.92994202898551
Marina SLU,MS401,2018,2018-10-01,22,31,0.7096774193548387,149.9282608695652,106.4007012622721
