listing_nickname,launch_date,end_date,building,neighborhood,pdlaunch_date,pdend_date
MS207,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS207,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS208,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS208,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS209,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS210,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS210,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS304,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS304,2018-08-29T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS308,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS309,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS309,2018-08-29T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS310,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
